x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.20,2012-03-20 00:00:00,ON,2012,3,20,17.9,,10.7,,25.1,,,M,,M,,M,,,0,,0,,0,,0.1,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.21,2012-03-21 00:00:00,ON,2012,3,21,18.9,,11.4,,26.4,,,M,,M,,M,,,2,,50,,0.9,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.22,2012-03-22 00:00:00,ON,2012,3,22,19.1,,10.7,,27.5,,,M,,M,,M,,,0,,0,,1.1,,0,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.23,2012-03-23 00:00:00,ON,2012,3,23,,M,12.4,E,,M,,M,,M,,M,,,8,,61,,,M,,M,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.24,2012-03-24 00:00:00,ON,2012,3,24,9.5,,6.3,,12.6,,,M,,M,,M,,,8,,35,,0,,8.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.25,2012-03-25 00:00:00,ON,2012,3,25,9.5,,2.1,,16.9,,,M,,M,,M,,,34,,50,,0,,8.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.26,2012-03-26 00:00:00,ON,2012,3,26,0.1,,-4.8,,4.9,,,M,,M,,M,,,35,,46,,0,,17.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.27,2012-03-27 00:00:00,ON,2012,3,27,1,,-6.9,,8.8,,,M,,M,,M,,,17,,39,,0,,17,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.28,2012-03-28 00:00:00,ON,2012,3,28,11,,3.1,,18.8,,,M,,M,,M,,,30,,59,,0,,7,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.29,2012-03-29 00:00:00,ON,2012,3,29,1.2,,-1.2,,3.5,,,M,,M,,M,,,31,,35,,0,,16.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.30,2012-03-30 00:00:00,ON,2012,3,30,1.4,,-3.3,,6.1,,,M,,M,,M,,,9,,56,,0,,16.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.3.31,2012-03-31 00:00:00,ON,2012,3,31,3.1,,-0.4,,6.5,,,M,,M,,M,,,0,,0,,0,,14.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.1,2012-04-01 00:00:00,ON,2012,4,1,3.4,,1.4,,5.4,,,M,,M,,M,,,19,,37,,0,,14.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.2,2012-04-02 00:00:00,ON,2012,4,2,5.7,,-1.6,,12.9,,,M,,M,,M,,,0,,0,,0,,12.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.3,2012-04-03 00:00:00,ON,2012,4,3,6,,-1.8,,13.8,,,M,,M,,M,,,0,,0,,0,,12,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.4,2012-04-04 00:00:00,ON,2012,4,4,6.1,,0.3,,11.8,,,M,,M,,M,,,13,,52,,0,,11.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.5,2012-04-05 00:00:00,ON,2012,4,5,3.4,,-2,,8.7,,,M,,M,,M,,,2,,35,,0,,14.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.6,2012-04-06 00:00:00,ON,2012,4,6,5.7,,-2.2,,13.6,,,M,,M,,M,,,30,,41,,0,,12.3,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.7,2012-04-07 00:00:00,ON,2012,4,7,6.1,,-2.9,,15.1,,,M,,M,,M,,,30,,35,,0,,11.9,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.8,2012-04-08 00:00:00,ON,2012,4,8,6.4,,-0.3,,13,,,M,,M,,M,,,31,,54,,0,,11.6,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.9,2012-04-09 00:00:00,ON,2012,4,9,6.8,,1.1,,12.4,,,M,,M,,M,,,29,,52,,0,,11.2,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.10,2012-04-10 00:00:00,ON,2012,4,10,4.5,,0.5,,8.4,,,M,,M,,M,,,29,,44,,0,,13.5,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.11,2012-04-11 00:00:00,ON,2012,4,11,5,,0,,9.9,,,M,,M,,M,,,32,,43,,0,,13,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.12,2012-04-12 00:00:00,ON,2012,4,12,5.2,,-2,,12.4,,,M,,M,,M,,,0,,0,,0,,12.8,,,,,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2012.4.13,2012-04-13 00:00:00,ON,2012,4,13,6.6,,-2.9,,16.1,,,M,,M,,M,,,29,,35,,0,,11.4,,,,,
